question,contexts,reference,type
"你是谁？请做一个自我介绍。","高升AI智能助理|由高升学堂倾力打造","我是由高升学堂倾力打造的高升AI智能助理，能够推荐课程、答疑解惑、激发创意、畅聊心事。",general
"你有哪些能力？分别是什么？","知识讲解|课程介绍|课程购买咨询|AI帮写|AI续写|AI润色|AI精简|关联问题生成","高升AI具备知识讲解、课程介绍、课程购买咨询、AI帮写/续写/润色/精简等写作辅助、关联问题生成等能力。",general
"高升Python编程入门课的价格是多少？","PY-101|199元|40课时|零基础","高升Python编程入门课（PY-101）价格为199元，共40课时，适合零基础学员学习。",course
"高升《Java高级架构与微服务》能学到什么内容？","SpringCloud|服务注册|网关|分布式事务|消息队列","高升《Java高级架构与微服务》能学到SpringCloud全家桶、服务注册与发现、网关、分布式事务、消息队列等高并发微服务核心技术。",course
"高升《Java进阶编程实战》的课程价格是多少？有哪些服务？","399元|60课时|作业批改|助教答疑","高升《Java进阶编程实战》课程价格为399元，共60课时，包含作业批改与助教答疑服务。",course
"零基础想成为前端工程师，高升推荐的学习路径是什么？","WEB-150|ALG-180|4-6个月|React|Vue3","高升推荐Web前端开发实战（WEB-150）打基础，再学习算法与数据结构精讲（ALG-180）应对面试，预计4-6个月可达求职水平。",course
"高升哪门课程完成后可以推荐就业？","JAVA-201|毕业项目|答辩|就业推荐","高升Java工程师进阶课（JAVA-201）完成毕业项目并通过答辩后，可提供就业推荐服务。",course
"高升的课程支持试听吗？退款政策是怎样的？","7天|全额退款|30%|70%","高升所有课程提供7天试学期，试学期内可全额退款；超过试学期且进度未超30%退70%，超过30%不退款。",faq
"高升的课程视频可以下载到本地离线观看吗？","App内缓存|30天|禁止录屏","高升的录播视频支持App内缓存离线观看，缓存有效期为30天，禁止录屏外传，违者封号。",faq
"在高升学完课后如何获取结业证书？","课时|作业|结业考试|毕业项目答辩|扫码验真","完成全部课时、通过所有作业与结业考试（或毕业项目答辩）后，可在「我的证书」页面下载电子证书，支持扫码验真。",faq
"高升支持哪些支付方式？有哪些优惠可以使用？","支付宝|微信支付|银行卡|Apple Pay|平台余额|学习券|积分抵扣","高升支持支付宝、微信支付、银行卡、Apple Pay、平台余额等多种支付方式，可叠加使用学习券与积分抵扣。",faq
"高升AI写作模版中的关联问题生成是什么？请举一个例子。","associationalWord|3个关联问题|$input|分隔符","关联问题生成模版会根据用户输入的关键词生成3个包含该关键词的中文关联问题，用|分隔，例如输入「RAG」可能输出「RAG的工作原理|RAG的优势|RAG与Fine-tune区别」。",template
